,contract_id,firm_contract_type,short_name,long_name,holiday_calendar_id,delivery_code,trading_code,exchange_id,type,trading_months,spot_trading_months,notional_maturity_start,notional_maturity_end,notional_coupon,contract_size,currency,quote_type,price_dec_places,price_tick_size,units_in_quote,tick_value,back_office_code,last_trading_date_rule,expiry_date_rule,root_ric_symbol,min_fluctuation,notional_maturity_units,max_contracts,default_executing_broker,default_clearing_broker,underlying_instr,underlying_instr_string,future_code,domicile,underlying_ric,contract_type,mds_date,active,version_number,version_user_id,version_date,default_executing_ny,default_clearing_ny,default_executing_tk,default_clearing_tk,default_executing_hk,default_clearing_hk,min_ctd_bonds,max_ctd_bonds,duration,coupon_freq,price_for_tick,margined,settlement_type,expiry_time,contract_multiplier,cash_in_lieu,related_contfuture_code,fut_expiry_year,strike_divisor,root_ric_override
12,C,156,C,C,C,C,C,C,C,C,156,C,C,C,549.5086080185555,C,C,156,C,C,C,C,C,C,C,549.5086080185555,156,156,C,C,156,C,C,C,C,C,2021-07-29,C,156,C,2021-07-29,C,C,C,C,C,C,156,156,C,156,C,C,C,C,C,C,C,156,156,C
13,UYcoys,690,UYcoys,UYcoys,UYcoys,UYcoys,UYcoys,UYcoys,UYcoys,UYcoys,690,UYcoys,UYcoys,UYcoys,424.69608543715907,UYcoys,UYcoys,690,UYcoys,UYcoys,UYcoys,UYcoys,UYcoys,UYcoys,UYcoys,424.69608543715907,690,690,UYcoys,UYcoys,690,UYcoys,UYcoys,UYcoys,UYcoys,UYcoys,2018-10-19,UYcoys,690,UYcoys,2018-10-19,UYcoys,UYcoys,UYcoys,UYcoys,UYcoys,UYcoys,690,690,UYcoys,690,UYcoys,UYcoys,UYcoys,UYcoys,UYcoys,UYcoys,UYcoys,690,690,UYcoys
14,Y,150,Y,Y,Y,Y,Y,Y,Y,Y,150,Y,Y,Y,829.575366279542,Y,Y,150,Y,Y,Y,Y,Y,Y,Y,829.575366279542,150,150,Y,Y,150,Y,Y,Y,Y,Y,2019-06-19,Y,150,Y,2019-06-19,Y,Y,Y,Y,Y,Y,150,150,Y,150,Y,Y,Y,Y,Y,Y,Y,150,150,Y
15,iLBVaGOqD,84,iLBVaGOqD,iLBVaGOqD,iLBVaGOqD,iLBVaGOqD,iLBVaGOqD,iLBVaGOqD,iLBVaGOqD,iLBVaGOqD,84,iLBVaGOqD,iLBVaGOqD,iLBVaGOqD,683.0314011787071,iLBVaGOqD,iLBVaGOqD,84,iLBVaGOqD,iLBVaGOqD,iLBVaGOqD,iLBVaGOqD,iLBVaGOqD,iLBVaGOqD,iLBVaGOqD,683.0314011787071,84,84,iLBVaGOqD,iLBVaGOqD,84,iLBVaGOqD,iLBVaGOqD,iLBVaGOqD,iLBVaGOqD,iLBVaGOqD,2016-01-21,iLBVaGOqD,84,iLBVaGOqD,2016-01-21,iLBVaGOqD,iLBVaGOqD,iLBVaGOqD,iLBVaGOqD,iLBVaGOqD,iLBVaGOqD,84,84,iLBVaGOqD,84,iLBVaGOqD,iLBVaGOqD,iLBVaGOqD,iLBVaGOqD,iLBVaGOqD,iLBVaGOqD,iLBVaGOqD,84,84,iLBVaGOqD
16,y,293,y,y,y,y,y,y,y,y,293,y,y,y,478.6266644122361,y,y,293,y,y,y,y,y,y,y,478.6266644122361,293,293,y,y,293,y,y,y,y,y,2016-05-19,y,293,y,2016-05-19,y,y,y,y,y,y,293,293,y,293,y,y,y,y,y,y,y,293,293,y
17,qUtUZn2AN8,639,qUtUZn2AN8,qUtUZn2AN8,qUtUZn2AN8,qUtUZn2AN8,qUtUZn2AN8,qUtUZn2AN8,qUtUZn2AN8,qUtUZn2AN8,639,qUtUZn2AN8,qUtUZn2AN8,qUtUZn2AN8,705.4151681213737,qUtUZn2AN8,qUtUZn2AN8,639,qUtUZn2AN8,qUtUZn2AN8,qUtUZn2AN8,qUtUZn2AN8,qUtUZn2AN8,qUtUZn2AN8,qUtUZn2AN8,705.4151681213737,639,639,qUtUZn2AN8,qUtUZn2AN8,639,qUtUZn2AN8,qUtUZn2AN8,qUtUZn2AN8,qUtUZn2AN8,qUtUZn2AN8,2019-08-30,qUtUZn2AN8,639,qUtUZn2AN8,2019-08-30,qUtUZn2AN8,qUtUZn2AN8,qUtUZn2AN8,qUtUZn2AN8,qUtUZn2AN8,qUtUZn2AN8,639,639,qUtUZn2AN8,639,qUtUZn2AN8,qUtUZn2AN8,qUtUZn2AN8,qUtUZn2AN8,qUtUZn2AN8,qUtUZn2AN8,qUtUZn2AN8,639,639,qUtUZn2AN8
18,VHBAn,279,VHBAn,VHBAn,VHBAn,VHBAn,VHBAn,VHBAn,VHBAn,VHBAn,279,VHBAn,VHBAn,VHBAn,567.879216649978,VHBAn,VHBAn,279,VHBAn,VHBAn,VHBAn,VHBAn,VHBAn,VHBAn,VHBAn,567.879216649978,279,279,VHBAn,VHBAn,279,VHBAn,VHBAn,VHBAn,VHBAn,VHBAn,2016-04-05,VHBAn,279,VHBAn,2016-04-05,VHBAn,VHBAn,VHBAn,VHBAn,VHBAn,VHBAn,279,279,VHBAn,279,VHBAn,VHBAn,VHBAn,VHBAn,VHBAn,VHBAn,VHBAn,279,279,VHBAn
19,vPMN,239,vPMN,vPMN,vPMN,vPMN,vPMN,vPMN,vPMN,vPMN,239,vPMN,vPMN,vPMN,899.4591471590661,vPMN,vPMN,239,vPMN,vPMN,vPMN,vPMN,vPMN,vPMN,vPMN,899.4591471590661,239,239,vPMN,vPMN,239,vPMN,vPMN,vPMN,vPMN,vPMN,2019-09-19,vPMN,239,vPMN,2019-09-19,vPMN,vPMN,vPMN,vPMN,vPMN,vPMN,239,239,vPMN,239,vPMN,vPMN,vPMN,vPMN,vPMN,vPMN,vPMN,239,239,vPMN
20,dYHUp,20,dYHUp,dYHUp,dYHUp,dYHUp,dYHUp,dYHUp,dYHUp,dYHUp,20,dYHUp,dYHUp,dYHUp,916.0823766969048,dYHUp,dYHUp,20,dYHUp,dYHUp,dYHUp,dYHUp,dYHUp,dYHUp,dYHUp,916.0823766969048,20,20,dYHUp,dYHUp,20,dYHUp,dYHUp,dYHUp,dYHUp,dYHUp,2016-04-03,dYHUp,20,dYHUp,2016-04-03,dYHUp,dYHUp,dYHUp,dYHUp,dYHUp,dYHUp,20,20,dYHUp,20,dYHUp,dYHUp,dYHUp,dYHUp,dYHUp,dYHUp,dYHUp,20,20,dYHUp
21,rRpGzUp4gg,558,rRpGzUp4gg,rRpGzUp4gg,rRpGzUp4gg,rRpGzUp4gg,rRpGzUp4gg,rRpGzUp4gg,rRpGzUp4gg,rRpGzUp4gg,558,rRpGzUp4gg,rRpGzUp4gg,rRpGzUp4gg,477.93129827773186,rRpGzUp4gg,rRpGzUp4gg,558,rRpGzUp4gg,rRpGzUp4gg,rRpGzUp4gg,rRpGzUp4gg,rRpGzUp4gg,rRpGzUp4gg,rRpGzUp4gg,477.93129827773186,558,558,rRpGzUp4gg,rRpGzUp4gg,558,rRpGzUp4gg,rRpGzUp4gg,rRpGzUp4gg,rRpGzUp4gg,rRpGzUp4gg,2018-06-03,rRpGzUp4gg,558,rRpGzUp4gg,2018-06-03,rRpGzUp4gg,rRpGzUp4gg,rRpGzUp4gg,rRpGzUp4gg,rRpGzUp4gg,rRpGzUp4gg,558,558,rRpGzUp4gg,558,rRpGzUp4gg,rRpGzUp4gg,rRpGzUp4gg,rRpGzUp4gg,rRpGzUp4gg,rRpGzUp4gg,rRpGzUp4gg,558,558,rRpGzUp4gg
22,Q,348,Q,Q,Q,Q,Q,Q,Q,Q,348,Q,Q,Q,574.4770807772616,Q,Q,348,Q,Q,Q,Q,Q,Q,Q,574.4770807772616,348,348,Q,Q,348,Q,Q,Q,Q,Q,2022-05-26,Q,348,Q,2022-05-26,Q,Q,Q,Q,Q,Q,348,348,Q,348,Q,Q,Q,Q,Q,Q,Q,348,348,Q
23,f,727,f,f,f,f,f,f,f,f,727,f,f,f,354.3839654231018,f,f,727,f,f,f,f,f,f,f,354.3839654231018,727,727,f,f,727,f,f,f,f,f,2020-12-20,f,727,f,2020-12-20,f,f,f,f,f,f,727,727,f,727,f,f,f,f,f,f,f,727,727,f
24,jJQgKPe4,177,jJQgKPe4,jJQgKPe4,jJQgKPe4,jJQgKPe4,jJQgKPe4,jJQgKPe4,jJQgKPe4,jJQgKPe4,177,jJQgKPe4,jJQgKPe4,jJQgKPe4,478.96188204641544,jJQgKPe4,jJQgKPe4,177,jJQgKPe4,jJQgKPe4,jJQgKPe4,jJQgKPe4,jJQgKPe4,jJQgKPe4,jJQgKPe4,478.96188204641544,177,177,jJQgKPe4,jJQgKPe4,177,jJQgKPe4,jJQgKPe4,jJQgKPe4,jJQgKPe4,jJQgKPe4,2021-12-14,jJQgKPe4,177,jJQgKPe4,2021-12-14,jJQgKPe4,jJQgKPe4,jJQgKPe4,jJQgKPe4,jJQgKPe4,jJQgKPe4,177,177,jJQgKPe4,177,jJQgKPe4,jJQgKPe4,jJQgKPe4,jJQgKPe4,jJQgKPe4,jJQgKPe4,jJQgKPe4,177,177,jJQgKPe4
25,nB43CCL,58,nB43CCL,nB43CCL,nB43CCL,nB43CCL,nB43CCL,nB43CCL,nB43CCL,nB43CCL,58,nB43CCL,nB43CCL,nB43CCL,649.6117167401733,nB43CCL,nB43CCL,58,nB43CCL,nB43CCL,nB43CCL,nB43CCL,nB43CCL,nB43CCL,nB43CCL,649.6117167401733,58,58,nB43CCL,nB43CCL,58,nB43CCL,nB43CCL,nB43CCL,nB43CCL,nB43CCL,2019-03-03,nB43CCL,58,nB43CCL,2019-03-03,nB43CCL,nB43CCL,nB43CCL,nB43CCL,nB43CCL,nB43CCL,58,58,nB43CCL,58,nB43CCL,nB43CCL,nB43CCL,nB43CCL,nB43CCL,nB43CCL,nB43CCL,58,58,nB43CCL
26,uhwhtw,956,uhwhtw,uhwhtw,uhwhtw,uhwhtw,uhwhtw,uhwhtw,uhwhtw,uhwhtw,956,uhwhtw,uhwhtw,uhwhtw,832.9286828881852,uhwhtw,uhwhtw,956,uhwhtw,uhwhtw,uhwhtw,uhwhtw,uhwhtw,uhwhtw,uhwhtw,832.9286828881852,956,956,uhwhtw,uhwhtw,956,uhwhtw,uhwhtw,uhwhtw,uhwhtw,uhwhtw,2016-01-01,uhwhtw,956,uhwhtw,2016-01-01,uhwhtw,uhwhtw,uhwhtw,uhwhtw,uhwhtw,uhwhtw,956,956,uhwhtw,956,uhwhtw,uhwhtw,uhwhtw,uhwhtw,uhwhtw,uhwhtw,uhwhtw,956,956,uhwhtw
27,rbgg,762,rbgg,rbgg,rbgg,rbgg,rbgg,rbgg,rbgg,rbgg,762,rbgg,rbgg,rbgg,766.8186422225189,rbgg,rbgg,762,rbgg,rbgg,rbgg,rbgg,rbgg,rbgg,rbgg,766.8186422225189,762,762,rbgg,rbgg,762,rbgg,rbgg,rbgg,rbgg,rbgg,2022-01-27,rbgg,762,rbgg,2022-01-27,rbgg,rbgg,rbgg,rbgg,rbgg,rbgg,762,762,rbgg,762,rbgg,rbgg,rbgg,rbgg,rbgg,rbgg,rbgg,762,762,rbgg
28,1bIisUp,615,1bIisUp,1bIisUp,1bIisUp,1bIisUp,1bIisUp,1bIisUp,1bIisUp,1bIisUp,615,1bIisUp,1bIisUp,1bIisUp,605.69648295718,1bIisUp,1bIisUp,615,1bIisUp,1bIisUp,1bIisUp,1bIisUp,1bIisUp,1bIisUp,1bIisUp,605.69648295718,615,615,1bIisUp,1bIisUp,615,1bIisUp,1bIisUp,1bIisUp,1bIisUp,1bIisUp,2020-08-12,1bIisUp,615,1bIisUp,2020-08-12,1bIisUp,1bIisUp,1bIisUp,1bIisUp,1bIisUp,1bIisUp,615,615,1bIisUp,615,1bIisUp,1bIisUp,1bIisUp,1bIisUp,1bIisUp,1bIisUp,1bIisUp,615,615,1bIisUp
29,8veHCt,845,8veHCt,8veHCt,8veHCt,8veHCt,8veHCt,8veHCt,8veHCt,8veHCt,845,8veHCt,8veHCt,8veHCt,788.3659320385634,8veHCt,8veHCt,845,8veHCt,8veHCt,8veHCt,8veHCt,8veHCt,8veHCt,8veHCt,788.3659320385634,845,845,8veHCt,8veHCt,845,8veHCt,8veHCt,8veHCt,8veHCt,8veHCt,2019-06-13,8veHCt,845,8veHCt,2019-06-13,8veHCt,8veHCt,8veHCt,8veHCt,8veHCt,8veHCt,845,845,8veHCt,845,8veHCt,8veHCt,8veHCt,8veHCt,8veHCt,8veHCt,8veHCt,845,845,8veHCt
30,6Oup,733,6Oup,6Oup,6Oup,6Oup,6Oup,6Oup,6Oup,6Oup,733,6Oup,6Oup,6Oup,993.9340897235974,6Oup,6Oup,733,6Oup,6Oup,6Oup,6Oup,6Oup,6Oup,6Oup,993.9340897235974,733,733,6Oup,6Oup,733,6Oup,6Oup,6Oup,6Oup,6Oup,2018-11-26,6Oup,733,6Oup,2018-11-26,6Oup,6Oup,6Oup,6Oup,6Oup,6Oup,733,733,6Oup,733,6Oup,6Oup,6Oup,6Oup,6Oup,6Oup,6Oup,733,733,6Oup
31,M05whvogDj,311,M05whvogDj,M05whvogDj,M05whvogDj,M05whvogDj,M05whvogDj,M05whvogDj,M05whvogDj,M05whvogDj,311,M05whvogDj,M05whvogDj,M05whvogDj,7.8143461335525854,M05whvogDj,M05whvogDj,311,M05whvogDj,M05whvogDj,M05whvogDj,M05whvogDj,M05whvogDj,M05whvogDj,M05whvogDj,7.8143461335525854,311,311,M05whvogDj,M05whvogDj,311,M05whvogDj,M05whvogDj,M05whvogDj,M05whvogDj,M05whvogDj,2017-01-30,M05whvogDj,311,M05whvogDj,2017-01-30,M05whvogDj,M05whvogDj,M05whvogDj,M05whvogDj,M05whvogDj,M05whvogDj,311,311,M05whvogDj,311,M05whvogDj,M05whvogDj,M05whvogDj,M05whvogDj,M05whvogDj,M05whvogDj,M05whvogDj,311,311,M05whvogDj
32,xuec6Zx2H9,297,xuec6Zx2H9,xuec6Zx2H9,xuec6Zx2H9,xuec6Zx2H9,xuec6Zx2H9,xuec6Zx2H9,xuec6Zx2H9,xuec6Zx2H9,297,xuec6Zx2H9,xuec6Zx2H9,xuec6Zx2H9,841.6392473335798,xuec6Zx2H9,xuec6Zx2H9,297,xuec6Zx2H9,xuec6Zx2H9,xuec6Zx2H9,xuec6Zx2H9,xuec6Zx2H9,xuec6Zx2H9,xuec6Zx2H9,841.6392473335798,297,297,xuec6Zx2H9,xuec6Zx2H9,297,xuec6Zx2H9,xuec6Zx2H9,xuec6Zx2H9,xuec6Zx2H9,xuec6Zx2H9,2022-11-29,xuec6Zx2H9,297,xuec6Zx2H9,2022-11-29,xuec6Zx2H9,xuec6Zx2H9,xuec6Zx2H9,xuec6Zx2H9,xuec6Zx2H9,xuec6Zx2H9,297,297,xuec6Zx2H9,297,xuec6Zx2H9,xuec6Zx2H9,xuec6Zx2H9,xuec6Zx2H9,xuec6Zx2H9,xuec6Zx2H9,xuec6Zx2H9,297,297,xuec6Zx2H9
33,uLxJMyMEr,328,uLxJMyMEr,uLxJMyMEr,uLxJMyMEr,uLxJMyMEr,uLxJMyMEr,uLxJMyMEr,uLxJMyMEr,uLxJMyMEr,328,uLxJMyMEr,uLxJMyMEr,uLxJMyMEr,132.1247991175809,uLxJMyMEr,uLxJMyMEr,328,uLxJMyMEr,uLxJMyMEr,uLxJMyMEr,uLxJMyMEr,uLxJMyMEr,uLxJMyMEr,uLxJMyMEr,132.1247991175809,328,328,uLxJMyMEr,uLxJMyMEr,328,uLxJMyMEr,uLxJMyMEr,uLxJMyMEr,uLxJMyMEr,uLxJMyMEr,2017-06-11,uLxJMyMEr,328,uLxJMyMEr,2017-06-11,uLxJMyMEr,uLxJMyMEr,uLxJMyMEr,uLxJMyMEr,uLxJMyMEr,uLxJMyMEr,328,328,uLxJMyMEr,328,uLxJMyMEr,uLxJMyMEr,uLxJMyMEr,uLxJMyMEr,uLxJMyMEr,uLxJMyMEr,uLxJMyMEr,328,328,uLxJMyMEr
34,TMVem,637,TMVem,TMVem,TMVem,TMVem,TMVem,TMVem,TMVem,TMVem,637,TMVem,TMVem,TMVem,685.6215173217068,TMVem,TMVem,637,TMVem,TMVem,TMVem,TMVem,TMVem,TMVem,TMVem,685.6215173217068,637,637,TMVem,TMVem,637,TMVem,TMVem,TMVem,TMVem,TMVem,2019-02-25,TMVem,637,TMVem,2019-02-25,TMVem,TMVem,TMVem,TMVem,TMVem,TMVem,637,637,TMVem,637,TMVem,TMVem,TMVem,TMVem,TMVem,TMVem,TMVem,637,637,TMVem
35,jsfQTAvk3n,835,jsfQTAvk3n,jsfQTAvk3n,jsfQTAvk3n,jsfQTAvk3n,jsfQTAvk3n,jsfQTAvk3n,jsfQTAvk3n,jsfQTAvk3n,835,jsfQTAvk3n,jsfQTAvk3n,jsfQTAvk3n,484.5345510450192,jsfQTAvk3n,jsfQTAvk3n,835,jsfQTAvk3n,jsfQTAvk3n,jsfQTAvk3n,jsfQTAvk3n,jsfQTAvk3n,jsfQTAvk3n,jsfQTAvk3n,484.5345510450192,835,835,jsfQTAvk3n,jsfQTAvk3n,835,jsfQTAvk3n,jsfQTAvk3n,jsfQTAvk3n,jsfQTAvk3n,jsfQTAvk3n,2016-12-16,jsfQTAvk3n,835,jsfQTAvk3n,2016-12-16,jsfQTAvk3n,jsfQTAvk3n,jsfQTAvk3n,jsfQTAvk3n,jsfQTAvk3n,jsfQTAvk3n,835,835,jsfQTAvk3n,835,jsfQTAvk3n,jsfQTAvk3n,jsfQTAvk3n,jsfQTAvk3n,jsfQTAvk3n,jsfQTAvk3n,jsfQTAvk3n,835,835,jsfQTAvk3n
36,6Fjt,771,6Fjt,6Fjt,6Fjt,6Fjt,6Fjt,6Fjt,6Fjt,6Fjt,771,6Fjt,6Fjt,6Fjt,136.69289544930507,6Fjt,6Fjt,771,6Fjt,6Fjt,6Fjt,6Fjt,6Fjt,6Fjt,6Fjt,136.69289544930507,771,771,6Fjt,6Fjt,771,6Fjt,6Fjt,6Fjt,6Fjt,6Fjt,2021-08-23,6Fjt,771,6Fjt,2021-08-23,6Fjt,6Fjt,6Fjt,6Fjt,6Fjt,6Fjt,771,771,6Fjt,771,6Fjt,6Fjt,6Fjt,6Fjt,6Fjt,6Fjt,6Fjt,771,771,6Fjt
